latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
51.39359,29.52283,306.37,0.55,0.51,2022-09-02,0100,N,VIIRS,n,2.0NRT,281.81,1.96,N
51.39157,29.53018,298.44,0.55,0.51,2022-09-02,0100,N,VIIRS,n,2.0NRT,281.87,1.96,N
51.37677,29.54624,311.18,0.55,0.51,2022-09-02,0100,N,VIIRS,n,2.0NRT,287.2,2.9,N
51.37475,29.55363,314.53,0.55,0.51,2022-09-02,0100,N,VIIRS,n,2.0NRT,286.19,2.9,N
51.37444,29.53577,301.13,0.55,0.51,2022-09-02,0100,N,VIIRS,n,2.0NRT,282.52,2.95,N
51.37241,29.54317,314.99,0.55,0.51,2022-09-02,0100,N,VIIRS,n,2.0NRT,285.45,2.54,N
51.37038,29.55054,313.23,0.55,0.51,2022-09-02,0100,N,VIIRS,n,2.0NRT,282.63,2.54,N
51.36836,29.55791,303.21,0.55,0.51,2022-09-02,0100,N,VIIRS,n,2.0NRT,277.91,0.86,N
51.36804,29.54011,303.88,0.55,0.51,2022-09-02,0100,N,VIIRS,n,2.0NRT,279.96,2.54,N
48.06472,37.95552,296.99,0.75,0.77,2022-09-02,0100,N,VIIRS,n,2.0NRT,281.84,0.92,N
48.05825,37.95067,304.15,0.75,0.77,2022-09-02,0100,N,VIIRS,n,2.0NRT,281.51,0.92,N
51.75868,25.97116,300.54,0.39,0.44,2022-09-02,0100,N,VIIRS,n,2.0NRT,273.72,0.97,N
51.75742,25.97656,313.3,0.39,0.44,2022-09-02,0100,N,VIIRS,n,2.0NRT,277.7,1.56,N
51.75486,25.96881,306.47,0.39,0.44,2022-09-02,0100,N,VIIRS,n,2.0NRT,273.52,0.74,N
48.06324,37.94984,300.73,0.75,0.77,2022-09-02,0100,N,VIIRS,n,2.0NRT,281.3,1.31,N
48.05984,37.9587,297.87,0.75,0.77,2022-09-02,0100,N,VIIRS,n,2.0NRT,281.54,1.31,N
47.85507,37.45969,318.59,0.73,0.76,2022-09-02,0100,N,VIIRS,n,2.0NRT,280.08,2.18,N
47.5067,34.3947,325.36,0.57,0.69,2022-09-02,0100,N,VIIRS,n,2.0NRT,287.07,4.71,N
47.50094,34.39023,345.21,0.57,0.69,2022-09-02,0100,N,VIIRS,n,2.0NRT,285.3,4.71,N
47.50337,34.38326,299.36,0.57,0.69,2022-09-02,0100,N,VIIRS,n,2.0NRT,284.97,8.16,N
48.44163,22.2535,298.65,0.51,0.41,2022-09-02,0100,N,VIIRS,n,2.0NRT,279.42,0.57,N
44.77042,33.85917,296.91,0.67,0.74,2022-09-02,0100,N,VIIRS,n,2.0NRT,284.48,0.55,N
47.19538,38.09468,338.01,0.51,0.66,2022-09-02,0905,N,VIIRS,n,2.0NRT,298.32,4.44,D
47.19335,38.08845,341.86,0.51,0.66,2022-09-02,0905,N,VIIRS,n,2.0NRT,298.12,4.44,D
47.19398,38.09335,341.56,0.51,0.66,2022-09-02,0905,N,VIIRS,n,2.0NRT,298.58,8.53,D
47.19191,38.08711,336.95,0.51,0.66,2022-09-02,0905,N,VIIRS,n,2.0NRT,297.94,4.53,D
46.95587,37.1745,339.51,0.57,0.69,2022-09-02,0905,N,VIIRS,n,2.0NRT,296.37,6.27,D
47.19016,37.78737,330.26,0.53,0.67,2022-09-02,0905,N,VIIRS,n,2.0NRT,296.54,6.04,D
47.19578,37.78314,355.72,0.53,0.67,2022-09-02,0905,N,VIIRS,n,2.0NRT,299.04,6.04,D
47.1936,37.77655,331.09,0.53,0.67,2022-09-02,0905,N,VIIRS,n,2.0NRT,299.89,6.04,D
47.19143,37.76999,336.07,0.53,0.67,2022-09-02,0905,N,VIIRS,n,2.0NRT,297.05,6.38,D
47.18925,37.76341,335.35,0.53,0.67,2022-09-02,0905,N,VIIRS,n,2.0NRT,295.92,6.38,D
47.19921,37.77229,346.15,0.53,0.67,2022-09-02,0905,N,VIIRS,n,2.0NRT,295.46,6.14,D
46.95724,37.17288,341.63,0.57,0.69,2022-09-02,0905,N,VIIRS,n,2.0NRT,297.1,7.5,D
47.18414,37.77406,329.95,0.53,0.67,2022-09-02,0905,N,VIIRS,n,2.0NRT,297.81,7.02,D
47.19421,37.78306,354.87,0.53,0.67,2022-09-02,0905,N,VIIRS,n,2.0NRT,299.76,17.42,D
47.1898,37.76997,331.99,0.53,0.67,2022-09-02,0905,N,VIIRS,n,2.0NRT,297.57,9.75,D
47.1876,37.76344,337.22,0.53,0.67,2022-09-02,0905,N,VIIRS,n,2.0NRT,296.52,5.27,D
47.19761,37.77225,367,0.53,0.67,2022-09-02,0905,N,VIIRS,h,2.0NRT,297.1,9.75,D
47.36686,38.21809,338.37,0.5,0.66,2022-09-02,0905,N,VIIRS,n,2.0NRT,297.77,4.95,D
47.36478,38.21178,338.88,0.5,0.66,2022-09-02,0905,N,VIIRS,n,2.0NRT,297.68,4.95,D
46.43139,35.28317,328.48,0.71,0.75,2022-09-02,0905,N,VIIRS,n,2.0NRT,291.84,3.06,D
47.94307,39.72474,333.53,0.42,0.61,2022-09-02,0905,N,VIIRS,n,2.0NRT,295.21,2.04,D
46.43773,35.28374,330.6,0.71,0.75,2022-09-02,0905,N,VIIRS,n,2.0NRT,293.06,7.46,D
47.67138,38.62954,329.74,0.47,0.64,2022-09-02,0905,N,VIIRS,n,2.0NRT,299.22,3.86,D
48.02898,39.74981,367,0.41,0.61,2022-09-02,0905,N,VIIRS,h,2.0NRT,300.37,12.66,D
47.66529,38.30912,351.08,0.49,0.65,2022-09-02,0905,N,VIIRS,n,2.0NRT,298.45,6.2,D
47.67084,38.30536,367,0.49,0.65,2022-09-02,0905,N,VIIRS,h,2.0NRT,302.17,18.74,D
47.66887,38.29928,351.29,0.49,0.65,2022-09-02,0905,N,VIIRS,n,2.0NRT,295.74,18.74,D
47.76188,38.16348,327.62,0.49,0.65,2022-09-02,0905,N,VIIRS,n,2.0NRT,294.16,1.85,D
47.64845,37.09027,367,0.55,0.68,2022-09-02,0905,N,VIIRS,h,2.0NRT,302.09,6.87,D
47.64608,37.08328,346.44,0.55,0.68,2022-09-02,0905,N,VIIRS,n,2.0NRT,296.97,6.87,D
47.65422,37.08624,330.99,0.55,0.68,2022-09-02,0905,N,VIIRS,n,2.0NRT,295.89,6.87,D
47.65188,37.07929,328.3,0.55,0.68,2022-09-02,0905,N,VIIRS,n,2.0NRT,295.69,6.87,D
47.64443,37.08768,329.25,0.55,0.68,2022-09-02,0905,N,VIIRS,n,2.0NRT,295.72,3.92,D
47.65023,37.0837,367,0.55,0.68,2022-09-02,0905,N,VIIRS,h,2.0NRT,301.64,17.83,D
47.65261,37.09062,331.19,0.55,0.68,2022-09-02,0905,N,VIIRS,n,2.0NRT,297.77,16.33,D
48.20375,38.42105,330.11,0.46,0.64,2022-09-02,0905,N,VIIRS,n,2.0NRT,298.01,2.37,D
48.0614,37.95432,329.22,0.49,0.65,2022-09-02,0905,N,VIIRS,n,2.0NRT,295.65,1.81,D
47.97721,37.53572,326.99,0.51,0.66,2022-09-02,0905,N,VIIRS,n,2.0NRT,294.88,2.55,D
48.21777,38.24635,341.4,0.47,0.64,2022-09-02,0905,N,VIIRS,n,2.0NRT,296.17,9.16,D
48.21584,38.24039,345.11,0.47,0.64,2022-09-02,0905,N,VIIRS,n,2.0NRT,296.72,6.2,D
48.45955,38.77451,335,0.44,0.62,2022-09-02,0905,N,VIIRS,n,2.0NRT,294.35,4.06,D
47.50209,34.39314,367,0.71,0.75,2022-09-02,0905,N,VIIRS,h,2.0NRT,292.82,12.11,D
47.50101,34.39447,346.1,0.7,0.75,2022-09-02,0905,N,VIIRS,n,2.0NRT,293.53,5.43,D
47.5072,34.38946,326.82,0.7,0.75,2022-09-02,0905,N,VIIRS,n,2.0NRT,287.72,5.43,D
48.79146,37.8179,354.94,0.47,0.64,2022-09-02,0905,N,VIIRS,n,2.0NRT,292.84,9.96,D
49.12301,38.33982,367,0.43,0.62,2022-09-02,0905,N,VIIRS,h,2.0NRT,295.88,9.44,D
49.12122,38.33413,330.9,0.43,0.62,2022-09-02,0905,N,VIIRS,n,2.0NRT,292.63,3.66,D
47.5136,33.60915,330.43,0.76,0.77,2022-09-02,0905,N,VIIRS,n,2.0NRT,291.83,4.13,D
